"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","gamma","0.852266175593231","0.838947421949994","0.866131906521514","0.839, 0.866"
5,"NWS","gamma","0.618952261792730","0.607138444344022","0.630969950162128","0.607, 0.631"
5,"USGS","gamma","0.686038445517682","0.672871744563433","0.699055238376486","0.673, 0.699"
20,"GLOFAS","gamma","0.263781051688374","0.249372097470636","0.278323599943992","0.249, 0.278"
20,"NWS","gamma","-0.00579438884804331","-0.00910234379413028","-0.00237517192952237","-0.009, -0.002"
20,"USGS","gamma","0.0894311600389434","0.0767608620345277","0.102303875834012","0.077, 0.102"
35,"GLOFAS","gamma","0.122541850513945","0.110625317521009","0.135079875088825","0.111, 0.135"
35,"NWS","gamma","-0.0652981535878703","-0.0707102086216397","-0.0603375063036845","-0.071, -0.060"
35,"USGS","gamma","-0.0247263242415730","-0.0297952746323053","-0.0193991832935549","-0.030, -0.019"
50,"GLOFAS","gamma","0.0351771840307630","0.0254527594251210","0.0445846444326025","0.025, 0.045"
50,"NWS","gamma","-0.161688883880822","-0.169183527751446","-0.154284288461180","-0.169, -0.154"
50,"USGS","gamma","-0.117719210131160","-0.125173621866431","-0.110377688959545","-0.125, -0.110"
65,"GLOFAS","gamma","-0.0142037952301984","-0.0267738521982689","-0.00256727693055787","-0.027, -0.003"
65,"NWS","gamma","-0.312958534276271","-0.324144546251720","-0.301898758270634","-0.324, -0.302"
65,"USGS","gamma","-0.297271029031772","-0.308249488673957","-0.286524575254905","-0.308, -0.287"
80,"GLOFAS","gamma","-0.161767378421618","-0.175927955946039","-0.148822401354531","-0.176, -0.149"
80,"NWS","gamma","-0.560625051594806","-0.575458846634345","-0.545373162552236","-0.575, -0.545"
80,"USGS","gamma","-0.647348520297171","-0.663528512463969","-0.631644021099664","-0.664, -0.632"
95,"GLOFAS","gamma","-0.979202581975633","-0.994093425612416","-0.964305946091768","-0.994, -0.964"
95,"NWS","gamma","-1.52757780283522","-1.54904449765272","-1.50720934527289","-1.549, -1.507"
95,"USGS","gamma","-2.05642148429564","-2.08412289504844","-2.02943404727665","-2.084, -2.029"
