"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","sigma","0.0139636609606436","0.0137793345557752","0.0141380498267296","0.014, 0.014"
5,"NWS","sigma","0.0190344695135658","0.0187760249403417","0.0192907889445517","0.019, 0.019"
5,"USGS","sigma","0.0220478386935537","0.0217499547854872","0.0223419360800413","0.022, 0.022"
20,"GLOFAS","sigma","0.0253824567745425","0.0250477817307032","0.0257095301900780","0.025, 0.026"
20,"NWS","sigma","0.0410010176714400","0.0404206470198933","0.0416009006054326","0.040, 0.042"
20,"USGS","sigma","0.0487320197192911","0.0480380672815779","0.0494179915720140","0.048, 0.049"
35,"GLOFAS","sigma","0.0309335806418979","0.0305345328514420","0.0313447519480836","0.031, 0.031"
35,"NWS","sigma","0.0579652458564614","0.0571376272930538","0.0588234377034455","0.057, 0.059"
35,"USGS","sigma","0.0643069852363202","0.0633964773072451","0.0652519324396020","0.063, 0.065"
50,"GLOFAS","sigma","0.0329445677035170","0.0325095728606461","0.0333935701860059","0.033, 0.033"
50,"NWS","sigma","0.0681541425688475","0.0671598600872580","0.0691746209658691","0.067, 0.069"
50,"USGS","sigma","0.0721861824197304","0.0711458206878534","0.0731596900110685","0.071, 0.073"
65,"GLOFAS","sigma","0.0366757814201730","0.0361994626486569","0.0371691549746326","0.036, 0.037"
65,"NWS","sigma","0.0686993114823468","0.0676990385850472","0.0696582280644974","0.068, 0.070"
65,"USGS","sigma","0.0676301364822970","0.0666618530070031","0.0685367721062624","0.067, 0.069"
80,"GLOFAS","sigma","0.0356717433954649","0.0352151552420387","0.0361701365053310","0.035, 0.036"
80,"NWS","sigma","0.0582317613362730","0.0574550375666091","0.0590491139850914","0.057, 0.059"
80,"USGS","sigma","0.0556653736734304","0.0549499182584928","0.0563930060675856","0.055, 0.056"
95,"GLOFAS","sigma","0.0205264977322781","0.0202601279614244","0.0207790556667021","0.020, 0.021"
95,"NWS","sigma","0.0358741848645320","0.0354470078849153","0.0363168938801657","0.035, 0.036"
95,"USGS","sigma","0.0379034181047783","0.0374839137286041","0.0383375631764405","0.037, 0.038"
