"component","component_contract","display_label","filename","relative_path","include_in_manuscript","rendered_at_utc"
1,"raw_state_component","Raw state component 1","component_01_raw_state_component.png","analysis_figures/component_evolution/component_01_raw_state_component.png",FALSE,"2026-06-12T00:26:30Z"
2,"raw_state_component","Raw state component 2","component_02_raw_state_component.png","analysis_figures/component_evolution/component_02_raw_state_component.png",FALSE,"2026-06-12T00:26:32Z"
3,"raw_state_component","Raw state component 3","component_03_raw_state_component.png","analysis_figures/component_evolution/component_03_raw_state_component.png",FALSE,"2026-06-12T00:26:34Z"
4,"raw_state_component","Raw state component 4","component_04_raw_state_component.png","analysis_figures/component_evolution/component_04_raw_state_component.png",FALSE,"2026-06-12T00:26:37Z"
5,"raw_state_component","Raw state component 5","component_05_raw_state_component.png","analysis_figures/component_evolution/component_05_raw_state_component.png",FALSE,"2026-06-12T00:26:39Z"
6,"raw_state_component","Raw state component 6","component_06_raw_state_component.png","analysis_figures/component_evolution/component_06_raw_state_component.png",FALSE,"2026-06-12T00:26:41Z"
7,"raw_state_component","Raw state component 7","component_07_raw_state_component.png","analysis_figures/component_evolution/component_07_raw_state_component.png",FALSE,"2026-06-12T00:26:43Z"
6,"component_6_plus_trend_component_1_samplewise","Component 6 plus trend component 1 (samplewise)","component_06_component_6_plus_trend_component_1_samplewise.png","analysis_figures/component_evolution/component_06_component_6_plus_trend_component_1_samplewise.png",FALSE,"2026-06-12T00:26:45Z"
