cutoff,cutoff_display,forecast_date,manuscript_label,model_variant,internal_model_id,resolved_run_name,resolved_run_dir,tau_label,tau,quantile_column,observed,predicted_quantile,check_loss,score_scale
20210123,01/23/2021,2021-02-03,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,1.26092794456487,0.592774802994459,0.03340765707852055,log_cms_plus1
20210123,01/23/2021,2021-02-04,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,1.05096735603763,0.482933032182817,0.02840171619274065,log_cms_plus1
20210123,01/23/2021,2021-02-05,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.939001504061878,0.382251693335464,0.0278374905363207,log_cms_plus1
20210123,01/23/2021,2021-02-06,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.8714427974809,0.36476907347525,0.025333686200282503,log_cms_plus1
20210123,01/23/2021,2021-02-07,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.816661034048199,0.436148241105532,0.01902563964713335,log_cms_plus1
20210123,01/23/2021,2021-02-08,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.779697515261744,0.358607187444448,0.021054516390864805,log_cms_plus1
20210123,01/23/2021,2021-02-09,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.744009965556625,0.331674759161515,0.0206167603197555,log_cms_plus1
20210123,01/23/2021,2021-02-10,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.716728602445559,0.608446397896837,0.0054141102274361036,log_cms_plus1
20210123,01/23/2021,2021-02-11,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.726361969597808,0.457696098796127,0.01343329354008405,log_cms_plus1
20210123,01/23/2021,2021-02-12,AL-M-T1,dqlm_multivar_al_keep,dqlm_multivar_al_synth_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,q0.05,0.05,q05,0.820408009628283,0.389686861030562,0.02153605742988605,log_cms_plus1
