cutoff,cutoff_display,manuscript_label,q0.05,q0.20,q0.35,q0.50,q0.65,q0.80,q0.95
20210123,01/23/2021,exAL-M-T1,0.02529308397124721,0.07061364151691611,0.09149070830314608,0.09407296172582612,0.08697486876425953,0.07164626919248478,0.030927361108172645
20210123,01/23/2021,AL-M-T1,0.028943586186463612,0.0717828414315601,0.09340712398425113,0.09699523802739962,0.08930629628373667,0.06937043028828319,0.04116204384272038
20210123,01/23/2021,exAL-U-T1,0.1117413734319743,0.3978560676113503,0.6399341059198236,0.8319759643113258,1.0133692280684774,1.2373829720713638,1.4039204177240083
20210123,01/23/2021,AL-U-T1,0.09399271471363091,0.3713205981005642,0.6262769034134539,0.8250799990536849,1.0572885769472424,1.2923561462849804,1.46822392243415
20211112,11/12/2021,exAL-M-T1,0.009427423627032036,0.02225934085077036,0.021642010655962055,0.03223554900126921,0.036586070856779444,0.027368910488340507,0.012666106497584342
20211112,11/12/2021,AL-M-T1,0.011135059076159633,0.022418084681816608,0.022637286459448392,0.035472109537173786,0.03936982749607992,0.03394242486255314,0.023689061674141122
20211112,11/12/2021,exAL-U-T1,0.09443775737875837,0.34810390524625406,0.5581131711449622,0.7153662772896955,0.8661415402886796,1.0540553143629805,1.2385126464656586
20211112,11/12/2021,AL-U-T1,0.08062731831385775,0.32079893529560055,0.5417656116317433,0.7151964261800358,0.9198749895270126,1.129182235521895,1.3371266031933542
20211221,12/21/2021,exAL-M-T1,0.03364687159118528,0.09116135783336173,0.14034308442101437,0.15903911616676997,0.19561346000907417,0.17708929729518313,0.10820960344665213
20211221,12/21/2021,AL-M-T1,0.05594392258306287,0.10245882506668899,0.1499364027943139,0.17786004546509088,0.22531202965822225,0.17117662629905003,0.05204872236495504
20211221,12/21/2021,exAL-U-T1,0.15902967771239637,0.5957418834889797,0.9807391028880742,1.310085761436824,1.638456145799487,2.001960840862282,2.336118653182507
20211221,12/21/2021,AL-U-T1,0.14422452050067705,0.5730853051177264,0.9680431476423046,1.3147489292763657,1.6908990457811044,2.0678164309765124,2.4389802470692317
20220511,05/11/2022,exAL-M-T1,0.012417768695204856,0.02617132534838088,0.02030845709000311,0.01543344230641184,0.01199964494213324,0.014123083070541125,0.008484797617411482
20220511,05/11/2022,AL-M-T1,0.010945023895995483,0.03551931893600663,0.03957079067798875,0.03432548975695921,0.021347294046338217,0.027303222782869067,0.016613665524059202
20220511,05/11/2022,exAL-U-T1,0.10073647777615599,0.34515319420123936,0.5425792055877781,0.6834991828430411,0.7865326372768376,0.9553007251445986,1.087718931288514
20220511,05/11/2022,AL-U-T1,0.08317801729970409,0.32835322935704364,0.5286034858158648,0.6688112481831855,0.8411719986390034,1.0285456561328699,1.197818479518763
20221225,12/25/2022,exAL-M-T1,0.10988403917252465,0.3307983076537231,0.4960926760123655,0.5906173188018966,0.38427638296968264,0.23441154908311532,0.11251674015614246
20221225,12/25/2022,AL-M-T1,0.1068470345877658,0.33825994172456914,0.49366812587263154,0.5580072100374319,0.2843907466851256,0.22048758824425888,0.13794726916616482
20221225,12/25/2022,exAL-U-T1,0.21709585746369106,0.8115498628117452,1.352163660139698,1.848293754571048,2.3127655077894334,2.8276230990338327,3.279033279893427
20221225,12/25/2022,AL-U-T1,0.20058339305295356,0.7959357030674553,1.3375094312271585,1.8347211779843666,2.3644771566334137,2.8929073600691297,3.400234941687479
