"model_id","date","segment","observed","q05","q20","q35","q50","q65","q80","q95"
"exdqlm_univar_synth","2021-10-25","history","3.09923612322976","0.515047952400512","0.728229113841380","0.831121705786959","0.960930428720191","1.18326191654271","1.41879143500073","1.61893971529773"
"exdqlm_univar_synth","2021-10-26","history","1.41460314114697","-0.148937558963044","-0.0127855548614669","0.0812493286992425","0.143068075465660","0.213315502847930","0.339989484063123","0.513313943455364"
"exdqlm_univar_synth","2021-10-27","history","0.899477213496615","-0.317544520626355","-0.216962980409767","-0.111277352659453","-0.0541462128599387","-0.00257138838711719","0.0991048936996948","0.247990441080342"
"exdqlm_univar_synth","2021-10-28","history","0.708396918106204","-0.801483789484983","-0.760457283350264","-0.702449332728002","-0.635514330011467","-0.551679950168429","-0.451062057311728","-0.328582160052354"
"exdqlm_univar_synth","2021-10-29","history","0.611851453720677","-0.809274769395476","-0.775965972726498","-0.730374345490720","-0.653071227325410","-0.572212317235861","-0.469611674301794","-0.342132585701455"
"exdqlm_univar_synth","2021-10-30","history","0.559842296508990","-0.785779225659418","-0.746655804518192","-0.689086580843395","-0.626673761930067","-0.532333747769857","-0.441650887115437","-0.307012543449512"
"exdqlm_univar_synth","2021-10-31","history","0.523603264334366","-0.778409793836766","-0.717880846896749","-0.672490777298517","-0.604963451882907","-0.530250452141950","-0.426307888792730","-0.287812495995473"
"exdqlm_univar_synth","2021-11-01","history","0.730462315212770","-0.717975571671256","-0.692219168746031","-0.631849486609306","-0.567528095452531","-0.500320594324365","-0.379167948048984","-0.255858684561829"
"exdqlm_univar_synth","2021-11-02","history","0.864309647371096","-0.297572990052094","-0.244744248331732","-0.164647643331482","-0.113573091010691","-0.00548579509632207","0.142446800799752","0.327130770893357"
"exdqlm_univar_synth","2021-11-03","history","0.662749469699745","-0.533741236847294","-0.503285630365763","-0.456490247853599","-0.411118303148278","-0.353028439432552","-0.248179850983092","-0.151010977426733"
"exdqlm_univar_synth","2021-11-04","history","0.608775222343418","-0.533817439479858","-0.505140097618306","-0.440643810307524","-0.391791082464878","-0.320175840000661","-0.212826562032985","-0.103426952547142"
"exdqlm_univar_synth","2021-11-05","history","0.567898453590398","-0.616907137140121","-0.597975694964496","-0.539084443790468","-0.483620376422063","-0.411966551391906","-0.307530654240305","-0.211329126108827"
"exdqlm_univar_synth","2021-11-06","history","0.533617590496223","-0.629027872545853","-0.603623766782525","-0.538487907532997","-0.485066953042290","-0.408601074570360","-0.317037165399153","-0.212275146360630"
"exdqlm_univar_synth","2021-11-07","history","0.506686585219815","-0.643723482415352","-0.611781629195983","-0.543078020073742","-0.493097311122806","-0.425526757210373","-0.340013355821038","-0.248479367385805"
"exdqlm_univar_synth","2021-11-08","history","0.494672298354342","-0.641068696304278","-0.616602528787361","-0.551005109749932","-0.495710400637609","-0.436580851426377","-0.333744487093032","-0.246338661494653"
"exdqlm_univar_synth","2021-11-09","history","1.50028624873640","-0.152271839640798","-0.0689089368852027","0.0207490213728840","0.0849303212592640","0.184082637840674","0.315537700710899","0.487950139273161"
"exdqlm_univar_synth","2021-11-10","history","1.05688951689620","-0.220935330668144","-0.181841708125153","-0.103683214013056","-0.0519922221785228","0.00739955860052132","0.110464162614400","0.241430222614126"
"exdqlm_univar_synth","2021-11-11","history","0.814155227623247","-0.373006486517433","-0.319063916140704","-0.248649051328405","-0.190786553017971","-0.135172199880660","-0.0624231025300427","0.0273048100086980"
"exdqlm_univar_synth","2021-11-12","history","0.707001530102400","-0.515247565718302","-0.467130375332435","-0.404124189569702","-0.342437249403840","-0.280433889813917","-0.199706524300994","-0.104074515644689"
"exdqlm_univar_synth","2021-11-13","forecast","0.645079778015392","-0.756077281299413","-0.711361483850627","-0.646757266760558","-0.562663430152006","-0.515282617596130","-0.456204028072828","-0.435185110168710"
"exdqlm_univar_synth","2021-11-14","forecast","0.602594223602068","-0.808886163522145","-0.732016866403297","-0.656884309293889","-0.550923192056928","-0.483586781186112","-0.444297594520845","-0.398084674541681"
"exdqlm_univar_synth","2021-11-15","forecast","0.575890227341676","-0.774061682221899","-0.728261221299156","-0.634089640524855","-0.530506927726148","-0.466053479073599","-0.423907476992088","-0.359734367312239"
